state,year,homes_millions,avg_total_sqft,avg_heated_sqft,avg_cooled_sqft,pct_single_family,pct_detached,pct_basement,pct_basement_finished_of_basements,pct_finished_basement_all_homes,pct_basement_heated_of_basements,pct_attic,pct_attic_finished_of_attics,pct_attached_garage,pct_garage_1car_of_garages,pct_garage_2car_of_garages,pct_garage_3plus_car_of_garages,pct_stories_1,pct_stories_2,pct_stories_3plus,pct_stories_split_level,pct_heat_furnace,pct_heat_central_heat_pump,pct_heat_mini_split,pct_no_heating,avg_full_baths,pct_2plus_full_baths,pct_owners_count_basement_in_sqft,pct_owners_count_attic_in_sqft,pct_owners_count_garage_in_sqft
ND,2024,0.222,2836.0,2699.0,2168.0,100.0,88.7,88.3,84.8,74.9,,61.9,10.0,71.9,13.8,50.4,35.7,52.4,30.2,6.1,11.3,,,,,2.15,78.6,56.5,7.9,13.9
NE,2020,0.553,2342.0,2199.0,1978.0,100.0,94.6,90.6,73.0,66.1,88.3,59.5,11.4,65.9,22.3,59.0,18.6,63.5,26.5,3.0,7.1,84.6,6.0,0.0,0.9,1.92,61.8,53.4,22.9,15.8
NE,2024,0.627,2330.0,2167.0,2038.0,100.0,94.6,91.1,73.6,67.0,,69.6,10.2,67.5,21.5,60.6,17.9,52.8,32.5,5.9,8.8,,,,,2.07,77.9,50.2,15.1,11.9
NH,2020,0.369,2633.0,2211.0,871.0,100.0,92.3,91.3,44.7,40.8,52.6,59.1,6.8,49.5,30.1,65.0,4.9,21.9,68.3,5.6,4.2,56.7,2.2,1.3,0.0,1.64,52.5,22.3,4.2,0.0
NH,2024,0.386,2809.0,2165.0,1145.0,100.0,92.3,91.1,36.9,33.6,,66.6,13.8,54.6,22.1,65.3,12.7,25.5,65.3,6.2,3.1,,,,,1.8,64.8,24.3,9.2,10.5
NM,2020,0.538,1959.0,1850.0,1516.0,100.0,95.1,5.7,,3.7,,37.9,15.5,70.7,17.7,70.5,11.8,75.8,22.3,0.0,1.9,75.2,1.7,0.0,0.0,1.97,82.3,,8.8,20.7
NM,2024,0.599,1843.0,1664.0,1392.0,100.0,94.1,4.0,,1.8,,40.5,10.1,66.8,23.4,67.5,9.1,79.1,18.8,1.3,0.9,,,,,1.86,74.2,,15.1,28.0
NV,2020,0.72,2009.0,1874.0,1696.0,100.0,90.8,4.6,,3.5,,51.5,18.3,84.0,11.2,62.0,26.8,62.4,34.4,3.2,0.0,84.3,3.9,0.8,1.2,2.16,90.5,,7.1,25.6
NV,2024,0.844,2037.0,1820.0,1760.0,100.0,91.5,4.8,,3.2,,55.0,11.4,84.5,5.1,60.8,34.1,62.4,35.3,0.3,2.0,,,,,2.24,91.0,,12.3,31.0
OH,2020,3.542,2381.0,2168.0,1835.0,100.0,94.6,80.7,48.1,38.8,74.0,65.7,12.5,65.5,20.7,67.3,12.0,44.6,49.9,2.2,3.3,84.2,6.5,0.4,0.0,1.77,59.8,29.9,10.8,15.0
OH,2024,3.719,2279.0,2025.0,1683.0,100.0,93.1,76.6,50.1,38.4,,66.2,16.7,56.0,20.4,70.9,8.6,45.6,45.4,6.6,2.4,,,,,1.7,58.7,35.0,17.3,15.8
OK,2020,1.128,1962.0,1765.0,1654.0,100.0,96.4,3.8,,2.7,,86.6,15.2,70.0,19.8,60.0,20.2,87.2,12.4,0.0,0.4,75.3,12.3,1.0,0.0,1.85,66.8,,10.4,26.3
OK,2024,1.224,1904.0,1663.0,1602.0,100.0,96.8,8.4,41.1,3.4,,82.3,14.6,66.3,19.2,59.2,21.6,79.6,19.4,0.0,1.0,,,,,1.84,66.1,24.6,13.6,33.3
OR,2020,1.168,1986.0,1861.0,1308.0,100.0,94.1,26.6,77.6,20.6,67.9,58.6,15.0,66.4,18.2,67.9,14.0,55.4,36.2,3.9,4.6,62.9,15.0,1.9,0.6,1.92,73.2,53.2,11.4,22.6
OR,2024,1.192,1934.0,1804.0,1400.0,100.0,92.1,21.9,72.9,16.0,,59.9,9.9,73.7,30.3,55.1,14.5,56.7,36.8,3.8,2.7,,,,,1.92,76.9,58.1,12.4,18.9
RI,2020,0.265,2343.0,1934.0,1155.0,100.0,94.8,87.3,50.3,43.9,50.7,64.3,16.4,44.7,34.2,56.5,9.4,28.4,60.6,6.7,4.3,57.4,0.0,1.3,0.7,1.7,55.6,31.7,21.1,21.7
RI,2024,0.271,2310.0,1843.0,1104.0,100.0,93.6,90.5,52.1,47.2,,69.3,6.2,44.9,33.5,60.8,5.7,31.1,64.3,3.4,1.1,,,,,1.63,53.5,30.2,11.6,10.9
SC,2020,1.376,2044.0,1843.0,1743.0,100.0,92.9,9.6,62.3,6.0,58.5,83.0,14.5,49.0,22.7,72.2,5.1,65.1,33.0,1.5,0.4,47.7,42.7,0.9,1.4,2.08,82.0,37.8,10.7,27.5
SC,2024,1.6,2118.0,1934.0,1814.0,100.0,94.3,4.6,,3.8,,86.7,13.0,66.8,22.8,70.0,7.1,56.4,40.1,3.6,0.0,,,,,2.14,84.5,,14.3,20.4
SD,2020,0.252,2448.0,2267.0,1911.0,100.0,93.7,84.2,76.4,64.3,83.8,63.2,9.5,70.2,21.3,50.2,28.5,62.6,30.1,2.1,5.2,78.8,5.7,0.8,0.0,2.04,76.2,58.4,14.3,12.6
SD,2024,0.273,2480.0,2355.0,1982.0,100.0,92.7,85.9,77.8,66.8,,57.2,7.9,74.5,12.5,55.2,32.3,63.7,28.1,2.0,6.2,,,,,2.06,76.4,59.1,11.4,12.1
UT,2020,0.815,2461.0,2370.0,2027.0,100.0,89.7,73.2,88.4,64.7,91.0,54.1,10.1,75.8,14.6,66.5,18.9,66.7,25.6,5.4,2.3,92.6,1.8,0.6,0.0,2.33,85.0,74.7,20.8,22.5
UT,2024,0.884,2707.0,2542.0,2206.0,100.0,88.3,74.9,88.0,65.9,,62.7,8.0,80.2,10.2,69.0,20.7,52.4,33.3,4.2,10.1,,,,,2.37,85.7,76.0,4.9,16.3
VT,2020,0.169,2354.0,2052.0,401.0,100.0,94.3,82.2,39.7,32.6,56.0,54.3,14.2,42.9,29.9,64.1,6.0,26.9,66.3,3.0,3.9,47.5,0.4,1.7,0.0,1.7,55.1,25.8,18.7,16.7
